"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"92218","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0599%22;src1=sm1","txt","","",""
"92219","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0609%22;src1=sm1","txt","","",""
"92220","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0610%22;src1=sm1","txt","","",""
"92221","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0604%22;src1=sm1","txt","","",""
"92222","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0608%22;src1=sm1","txt","","",""
"92223","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0606%22;src1=sm1","txt","","",""
"92224","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0601%22;src1=sm1","txt","","",""
"92225","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0615%22;src1=sm1","txt","","",""
"92226","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0584%22;src1=sm1","txt","","",""
"92227","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0607%22;src1=sm1","txt","","",""
"92228","Brown, Sen Bob","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0614%22;src1=sm1","txt","","",""
"92229","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0612%22;src1=sm1","txt","","",""
"92230","Brown, Sen Bob","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0616%22;src1=sm1","txt","","",""
"92231","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0617%22;src1=sm1","txt","","",""
"92232","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0619%22;src1=sm1","txt","","",""
"92233","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0618%22;src1=sm1","txt","","",""
"92234","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0621%22;src1=sm1","txt","","",""
"92235","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0622%22;src1=sm1","txt","","",""
"92236","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0620%22;src1=sm1","txt","","",""
"92237","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0626%22;src1=sm1","txt","","",""
"92238","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0583%22;src1=sm1","txt","","",""
"92239","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0624%22;src1=sm1","txt","","",""
"92240","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0625%22;src1=sm1","txt","","",""
"92241","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0629%22;src1=sm1","txt","","",""
"92242","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0630%22;src1=sm1","txt","","",""
"92243","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0598%22;src1=sm1","txt","","",""
"92244","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0628%22;src1=sm1","txt","","",""
"92245","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0623%22;src1=sm1","txt","","",""
"92246","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0631%22;src1=sm1","txt","","",""
"92247","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0627%22;src1=sm1","txt","","",""
"92248","Brown, Sen Bob","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0632%22;src1=sm1","txt","","",""
"92249","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0636%22;src1=sm1","txt","","",""
"92250","Brown, Sen Bob","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0634%22;src1=sm1","txt","","",""
"92251","Siewert, Sen Rachel","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0638%22;src1=sm1","txt","","",""
"92252","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0635%22;src1=sm1","txt","","",""
"92254","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0637%22;src1=sm1","txt","","",""
"92260","Abetz, Sen Eric","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansards%2F2007-08-16%2F0633%22;src1=sm1","txt","","",""
"199577","Turnbull, Malcolm, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-08%2F0020%22;src1=sm1","txt","","",""
"199600","Turnbull, Malcolm, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-08%2F0016%22;src1=sm1","txt","","",""
"200013","Southcott, Dr Andrew, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0007%22;src1=sm1","txt","","",""
"200017","Garrett, Peter, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0006%22;src1=sm1","txt","","",""
